feature,importance
odds_diff,0.4948733929686273
points_diff,0.17132274980843634
rank_diff,0.14474869605531537
home_rank,0.07316996881726039
away_rank,0.06889163178364116
surface_Clay,0.004570404382204269
surface_Hard,0.004237583854878067
round_Qualifier,0.0035957908223065395
has_odds,0.0034869484363961273
tour_type_human_Atp Tour,0.003383397142131488
tour_type_human_Atp Chall,0.003377199422764702
round_1/16-Finals,0.003343670607424267
round_Quarter-Finals,0.002707002708634616
round_1/8-Finals,0.0026562903751809258
surface_Grass,0.002491889185214503
tour_type_human_Wta Tour,0.0024215573626771764
round_Final,0.0021077432561836633
round_Semi-Finals,0.002031433929696497
tour_type_human_Wta Chall,0.0018276338411278292
round_1/64-Finals,0.0016102811757495272
round_1/32-Finals,0.001490044538043674
round_Nan,0.0009332237652309768
surface_Team Event (Mixed Surface),0.0007214657608745497
