unique_match_id,match_date,season_year,tour_type_human,surface,round,tournament,home_id,home_name,away_id,away_name,home_rank,away_rank,winner_code,home_win
88631370_2023_1,2022-12-29 01:10:00,2023,Atp Tour,Hard,Nan,United Cup ATP,723636,Fritz T.,563621,Lehecka J.,9.0,81.0,1.0,1
12903993_2023_1,2022-12-29 04:50:00,2023,Atp Tour,Hard,Nan,United Cup ATP,340250,Musetti L.,182021,Meligeni Alves F.,23.0,166.0,1.0,1
32392525_2023_1,2022-12-29 06:55:00,2023,Atp Tour,Hard,Nan,United Cup ATP,249143,Tsitsipas S.,945948,Dimitrov G.,4.0,28.0,1.0,1
89690005_2023_1,2022-12-29 08:10:00,2023,Atp Tour,Hard,Nan,United Cup ATP,284548,De Minaur A.,701944,Norrie C.,24.0,14.0,2.0,0
50341526_2023_1,2022-12-29 11:25:00,2023,Atp Tour,Hard,Nan,United Cup ATP,488936,Huesler M.,508090,Skatov T.,56.0,142.0,1.0,1
50855008_2023_1,2022-12-29 11:50:00,2023,Atp Tour,Hard,Nan,United Cup ATP,954504,Rinderknech A.,986053,Cerundolo F.,44.0,30.0,1.0,1
83454864_2023_1,2022-12-30 00:10:00,2023,Atp Tour,Hard,Nan,United Cup ATP,692847,Berrettini M.,261646,Monteiro T.,16.0,71.0,1.0,1
50358144_2023_1,2022-12-30 01:30:00,2023,Atp Tour,Hard,Nan,United Cup ATP,520972,Tiafoe F.,361742,Machac T.,19.0,97.0,1.0,1
27258276_2023_1,2022-12-30 04:00:00,2023,Atp Tour,Hard,Nan,United Cup ATP,458242,Pervolarakis M.,237834,Kuzmanov D.,506.0,196.0,2.0,0
56317834_2023_1,2022-12-30 07:35:00,2023,Atp Tour,Hard,Nan,United Cup ATP,278192,Wawrinka S.,732840,Bublik A.,148.0,37.0,1.0,1
36378713_2023_1,2022-12-30 08:30:00,2023,Atp Tour,Hard,Nan,United Cup ATP,512847,Kubler J.,890750,Evans D.,107.0,27.0,1.0,1
77883906_2023_1,2022-12-30 11:10:00,2023,Atp Tour,Hard,Nan,United Cup ATP,136276,Mannarino A.,452060,Coria F.,46.0,75.0,1.0,1
87295504_2023_1,2022-12-30 23:10:00,2023,Atp Tour,Hard,Nan,United Cup ATP,404096,Zverev A.,563621,Lehecka J.,12.0,81.0,2.0,0
93696153_2023_1,2022-12-30 23:40:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,659243,Humbert U.,267424,Wu Y.,,,2.0,0
34421863_2023_1,2022-12-31 01:25:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,338460,Popyrin A.,149795,Zhang Z.,,,1.0,1
74222086_2023_1,2022-12-31 02:00:00,2023,Atp Tour,Hard,Nan,United Cup ATP,182021,Meligeni Alves F.,145031,Durasovic V.,166.0,343.0,1.0,1
43506644_2023_1,2022-12-31 02:45:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,957369,Safiullin R.,619204,Hanfmann Y.,,,1.0,1
69669821_2023_1,2022-12-31 02:55:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,884527,Millman J.,120068,Pospisil V.,,,2.0,0
32889145_2023_1,2022-12-31 04:15:00,2023,Atp Tour,Hard,Nan,United Cup ATP,811823,Goffin D.,945948,Dimitrov G.,53.0,28.0,2.0,0
43133453_2023_1,2022-12-31 04:40:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,614106,Kwon S.,768744,Thiem D.,,,1.0,1
72199684_2023_1,2022-12-31 04:40:00,2023,Atp Tour,Hard,Nan,United Cup ATP,587237,Nadal R.,701944,Norrie C.,2.0,14.0,2.0,0
59521623_2023_1,2022-12-31 05:30:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,733556,Winter E.,646738,Daniel T.,,,2.0,0
21301871_2023_1,2022-12-31 05:45:00,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,302790,Milojevic N.,721837,Ionel N. D.,,,1.0,1
61117383_2023_1,2022-12-31 05:45:00,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,137843,Marterer M.,561713,Gunneswaran P.,,,1.0,1
54488093_2023_1,2022-12-31 06:10:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,656194,Duckworth J.,791426,Shelton B.,,,1.0,1
24119575_2023_1,2022-12-31 07:00:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,473089,Barrere G.,981922,Hijikata R.,,,2.0,0
94732908_2023_1,2022-12-31 07:00:00,2023,Atp Tour,Hard,Nan,United Cup ATP,326801,Michalski D.,508090,Skatov T.,260.0,142.0,2.0,0
13850216_2023_1,2022-12-31 07:15:53,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,928358,Bellucci M.,200057,Orlov V.,,,1.0,1
89823541_2023_1,2022-12-31 08:10:00,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,364318,Ramanathan R.,923060,Virtanen O.,,,1.0,1
86284663_2023_1,2022-12-31 08:45:00,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,927805,Ymer E.,386521,Zekic M.,,,1.0,1
58947032_2023_1,2022-12-31 09:10:00,2023,Atp Tour,Hard,Nan,United Cup ATP,663803,Coric B.,986053,Cerundolo F.,26.0,30.0,1.0,1
49895796_2023_1,2022-12-31 09:30:18,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,706750,Rawat S.,255826,Kolar Z.,,,2.0,0
43098249_2023_1,2022-12-31 10:25:50,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,138401,Bhambri Y.,476967,Hidalgo D.,,,1.0,1
93117608_2023_1,2022-12-31 11:45:00,2023,Atp Tour,Hard,Qualifier,Pune ATP - Qualification,957408,Vishal Balsekar A.,374892,Cobolli F.,,,2.0,0
57281043_2023_3,2022-12-31 23:10:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,713412,Zeppieri G.,904531,Maestrelli F.,,,2.0,0
43824398_2023_3,2022-12-31 23:10:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,335034,Couacaud E.,995867,Walton A.,,,1.0,1
32929732_2023_3,2022-12-31 23:10:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,422313,Diallo G.,953996,Shang J.,,,1.0,1
58882152_2023_1,2022-12-31 23:40:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,267424,Wu Y.,338460,Popyrin A.,,,2.0,0
77053158_2023_3,2023-01-01 00:10:00,2023,Atp Chall,Hard,Qualifier,Noumea Chall. Men - Qualification,508033,Delaney Je.,813264,Delaney Ja.,,,2.0,0
99884981_2023_3,2023-01-01 00:10:00,2023,Atp Chall,Hard,Qualifier,Noumea Chall. Men - Qualification,465909,Osmont G.,679268,Uesugi K.,,,2.0,0
10008558_2023_1,2023-01-01 00:10:00,2023,Atp Tour,Hard,Nan,United Cup ATP,261646,Monteiro T.,529271,Ruud C.,71.0,3.0,2.0,0
86452182_2023_3,2023-01-01 00:50:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,812008,Laaksonen H.,373503,Krueger M.,,,2.0,0
82190589_2023_3,2023-01-01 01:05:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,385506,Bolt A.,396263,Bellier A.,,,2.0,0
64415040_2023_1,2023-01-01 01:20:00,2023,Atp Tour,Hard,Nan,United Cup ATP,925629,Otte O.,930526,Svrcina D.,76.0,222.0,1.0,1
99082339_2023_3,2023-01-01 01:25:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,441194,Furness E.,755374,Ofner S.,,,2.0,0
21373966_2023_3,2023-01-01 01:30:00,2023,Atp Chall,Hard,Qualifier,Noumea Chall. Men - Qualification,324554,Lopes T.,194018,Brown P.,,,2.0,0
79733916_2023_3,2023-01-01 01:30:00,2023,Atp Chall,Hard,Qualifier,Noumea Chall. Men - Qualification,705517,Harper M.,494287,Jin J.,,,2.0,0
48493948_2023_1,2023-01-01 02:20:00,2023,Atp Tour,Hard,Qualifier,Adelaide 2 ATP - Qualification,957369,Safiullin R.,120068,Pospisil V.,,,1.0,1
96411649_2023_3,2023-01-01 03:00:00,2023,Atp Chall,Hard,Qualifier,Noumea Chall. Men - Qualification,419415,Boivin L.,139468,Walkin B.,,,2.0,0
69034222_2023_3,2023-01-01 03:10:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,257507,Nava E.,238388,Camus C.,,,1.0,1
74549255_2023_3,2023-01-01 03:10:00,2023,Atp Chall,Hard,Qualifier,Nonthaburi Chall. Men - Qualification,960706,Oradini G.,154108,Ayeni A.,,,2.0,0
43301478_2023_3,2023-01-01 03:10:00,2023,Atp Chall,Hard,Qualifier,Nonthaburi Chall. Men - Qualification,919952,Harris B.,177120,Perez A.,,,2.0,0
63266315_2023_3,2023-01-01 03:10:00,2023,Atp Chall,Hard,Qualifier,Nonthaburi Chall. Men - Qualification,315309,Nam Ji S.,966328,Ovcharenko O.,,,1.0,1
55500182_2023_3,2023-01-01 03:15:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,429614,Schoolkate T.,788021,Kukushkin M.,,,1.0,1
40650491_2023_3,2023-01-01 03:15:00,2023,Atp Chall,Hard,Qualifier,Noumea Chall. Men - Qualification,539140,Taylor A.,654101,Mott B.,,,2.0,0
53404727_2023_3,2023-01-01 04:05:00,2023,Atp Chall,Hard,Qualifier,Canberra Chall. Men - Qualification,568273,Broady L.,717248,Galarneau A.,,,1.0,1
26059269_2023_3,2023-01-01 04:30:00,2023,Atp Chall,Hard,Qualifier,Nonthaburi Chall. Men - Qualification,844257,Rosenkranz M.,493807,Santillan A.,,,2.0,0
24889297_2023_1,2023-01-01 04:30:00,2023,Atp Tour,Hard,Nan,United Cup ATP,192912,Bergs Z.,237834,Kuzmanov D.,129.0,196.0,2.0,0
