unique_match_id,player_id,opponent_id,player_rank,opponent_rank,surface,season_year,match_date,tour_type_human,won,player_name,opponent_name
88631370_2023_1,723636,563621,9.0,81.0,Hard,2023,2022-12-29 01:10:00,Atp Tour,1,Fritz T.,Lehecka J.
12903993_2023_1,340250,182021,23.0,166.0,Hard,2023,2022-12-29 04:50:00,Atp Tour,1,Musetti L.,Meligeni Alves F.
32392525_2023_1,249143,945948,4.0,28.0,Hard,2023,2022-12-29 06:55:00,Atp Tour,1,Tsitsipas S.,Dimitrov G.
89690005_2023_1,284548,701944,24.0,14.0,Hard,2023,2022-12-29 08:10:00,Atp Tour,0,De Minaur A.,Norrie C.
50341526_2023_1,488936,508090,56.0,142.0,Hard,2023,2022-12-29 11:25:00,Atp Tour,1,Huesler M.,Skatov T.
50855008_2023_1,954504,986053,44.0,30.0,Hard,2023,2022-12-29 11:50:00,Atp Tour,1,Rinderknech A.,Cerundolo F.
83454864_2023_1,692847,261646,16.0,71.0,Hard,2023,2022-12-30 00:10:00,Atp Tour,1,Berrettini M.,Monteiro T.
50358144_2023_1,520972,361742,19.0,97.0,Hard,2023,2022-12-30 01:30:00,Atp Tour,1,Tiafoe F.,Machac T.
27258276_2023_1,458242,237834,506.0,196.0,Hard,2023,2022-12-30 04:00:00,Atp Tour,0,Pervolarakis M.,Kuzmanov D.
56317834_2023_1,278192,732840,148.0,37.0,Hard,2023,2022-12-30 07:35:00,Atp Tour,1,Wawrinka S.,Bublik A.
36378713_2023_1,512847,890750,107.0,27.0,Hard,2023,2022-12-30 08:30:00,Atp Tour,1,Kubler J.,Evans D.
77883906_2023_1,136276,452060,46.0,75.0,Hard,2023,2022-12-30 11:10:00,Atp Tour,1,Mannarino A.,Coria F.
87295504_2023_1,404096,563621,12.0,81.0,Hard,2023,2022-12-30 23:10:00,Atp Tour,0,Zverev A.,Lehecka J.
93696153_2023_1,659243,267424,,,Hard,2023,2022-12-30 23:40:00,Atp Tour,0,Humbert U.,Wu Y.
34421863_2023_1,338460,149795,,,Hard,2023,2022-12-31 01:25:00,Atp Tour,1,Popyrin A.,Zhang Z.
74222086_2023_1,182021,145031,166.0,343.0,Hard,2023,2022-12-31 02:00:00,Atp Tour,1,Meligeni Alves F.,Durasovic V.
43506644_2023_1,957369,619204,,,Hard,2023,2022-12-31 02:45:00,Atp Tour,1,Safiullin R.,Hanfmann Y.
69669821_2023_1,884527,120068,,,Hard,2023,2022-12-31 02:55:00,Atp Tour,0,Millman J.,Pospisil V.
32889145_2023_1,811823,945948,53.0,28.0,Hard,2023,2022-12-31 04:15:00,Atp Tour,0,Goffin D.,Dimitrov G.
43133453_2023_1,614106,768744,,,Hard,2023,2022-12-31 04:40:00,Atp Tour,1,Kwon S.,Thiem D.
72199684_2023_1,587237,701944,2.0,14.0,Hard,2023,2022-12-31 04:40:00,Atp Tour,0,Nadal R.,Norrie C.
59521623_2023_1,733556,646738,,,Hard,2023,2022-12-31 05:30:00,Atp Tour,0,Winter E.,Daniel T.
21301871_2023_1,302790,721837,,,Hard,2023,2022-12-31 05:45:00,Atp Tour,1,Milojevic N.,Ionel N. D.
61117383_2023_1,137843,561713,,,Hard,2023,2022-12-31 05:45:00,Atp Tour,1,Marterer M.,Gunneswaran P.
54488093_2023_1,656194,791426,,,Hard,2023,2022-12-31 06:10:00,Atp Tour,1,Duckworth J.,Shelton B.
24119575_2023_1,473089,981922,,,Hard,2023,2022-12-31 07:00:00,Atp Tour,0,Barrere G.,Hijikata R.
94732908_2023_1,326801,508090,260.0,142.0,Hard,2023,2022-12-31 07:00:00,Atp Tour,0,Michalski D.,Skatov T.
13850216_2023_1,928358,200057,,,Hard,2023,2022-12-31 07:15:53,Atp Tour,1,Bellucci M.,Orlov V.
89823541_2023_1,364318,923060,,,Hard,2023,2022-12-31 08:10:00,Atp Tour,1,Ramanathan R.,Virtanen O.
86284663_2023_1,927805,386521,,,Hard,2023,2022-12-31 08:45:00,Atp Tour,1,Ymer E.,Zekic M.
58947032_2023_1,663803,986053,26.0,30.0,Hard,2023,2022-12-31 09:10:00,Atp Tour,1,Coric B.,Cerundolo F.
49895796_2023_1,706750,255826,,,Hard,2023,2022-12-31 09:30:18,Atp Tour,0,Rawat S.,Kolar Z.
43098249_2023_1,138401,476967,,,Hard,2023,2022-12-31 10:25:50,Atp Tour,1,Bhambri Y.,Hidalgo D.
93117608_2023_1,957408,374892,,,Hard,2023,2022-12-31 11:45:00,Atp Tour,0,Vishal Balsekar A.,Cobolli F.
57281043_2023_3,713412,904531,,,Hard,2023,2022-12-31 23:10:00,Atp Chall,0,Zeppieri G.,Maestrelli F.
43824398_2023_3,335034,995867,,,Hard,2023,2022-12-31 23:10:00,Atp Chall,1,Couacaud E.,Walton A.
32929732_2023_3,422313,953996,,,Hard,2023,2022-12-31 23:10:00,Atp Chall,1,Diallo G.,Shang J.
58882152_2023_1,267424,338460,,,Hard,2023,2022-12-31 23:40:00,Atp Tour,0,Wu Y.,Popyrin A.
77053158_2023_3,508033,813264,,,Hard,2023,2023-01-01 00:10:00,Atp Chall,0,Delaney Je.,Delaney Ja.
99884981_2023_3,465909,679268,,,Hard,2023,2023-01-01 00:10:00,Atp Chall,0,Osmont G.,Uesugi K.
10008558_2023_1,261646,529271,71.0,3.0,Hard,2023,2023-01-01 00:10:00,Atp Tour,0,Monteiro T.,Ruud C.
86452182_2023_3,812008,373503,,,Hard,2023,2023-01-01 00:50:00,Atp Chall,0,Laaksonen H.,Krueger M.
82190589_2023_3,385506,396263,,,Hard,2023,2023-01-01 01:05:00,Atp Chall,0,Bolt A.,Bellier A.
64415040_2023_1,925629,930526,76.0,222.0,Hard,2023,2023-01-01 01:20:00,Atp Tour,1,Otte O.,Svrcina D.
99082339_2023_3,441194,755374,,,Hard,2023,2023-01-01 01:25:00,Atp Chall,0,Furness E.,Ofner S.
21373966_2023_3,324554,194018,,,Hard,2023,2023-01-01 01:30:00,Atp Chall,0,Lopes T.,Brown P.
79733916_2023_3,705517,494287,,,Hard,2023,2023-01-01 01:30:00,Atp Chall,0,Harper M.,Jin J.
48493948_2023_1,957369,120068,,,Hard,2023,2023-01-01 02:20:00,Atp Tour,1,Safiullin R.,Pospisil V.
96411649_2023_3,419415,139468,,,Hard,2023,2023-01-01 03:00:00,Atp Chall,0,Boivin L.,Walkin B.
69034222_2023_3,257507,238388,,,Hard,2023,2023-01-01 03:10:00,Atp Chall,1,Nava E.,Camus C.
74549255_2023_3,960706,154108,,,Hard,2023,2023-01-01 03:10:00,Atp Chall,0,Oradini G.,Ayeni A.
43301478_2023_3,919952,177120,,,Hard,2023,2023-01-01 03:10:00,Atp Chall,0,Harris B.,Perez A.
63266315_2023_3,315309,966328,,,Hard,2023,2023-01-01 03:10:00,Atp Chall,1,Nam Ji S.,Ovcharenko O.
55500182_2023_3,429614,788021,,,Hard,2023,2023-01-01 03:15:00,Atp Chall,1,Schoolkate T.,Kukushkin M.
40650491_2023_3,539140,654101,,,Hard,2023,2023-01-01 03:15:00,Atp Chall,0,Taylor A.,Mott B.
53404727_2023_3,568273,717248,,,Hard,2023,2023-01-01 04:05:00,Atp Chall,1,Broady L.,Galarneau A.
