column,dtype,n_nulls,pct_nulls,n_unique
match_id,int64,0,0.0,74692
season_year,int64,0,0.0,4
tour_type,int64,0,0.0,5
tour_type_human,object,0,0.0,5
date_timestamp,int64,0,0.0,54321
date_human,object,0,0.0,1287
tournament,object,0,0.0,1148
round,object,0,0.0,10
surface,object,0,0.0,4
surface_id,int64,0,0.0,4
status,object,0,0.0,2
status_extra,object,0,0.0,7
home_name,object,0,0.0,3380
away_name,object,0,0.0,3378
home_id,int64,0,0.0,3397
away_id,int64,0,0.0,3394
home_rank,float64,32872,44.0,1454
away_rank,float64,32929,44.08,1498
home_points,float64,32872,44.0,2219
away_points,float64,32929,44.08,2190
winner_code,float64,723,0.97,2
home_set_score,float64,1111,1.49,4
away_set_score,float64,1111,1.49,4
home_set_1_score,float64,1111,1.49,8
away_set_1_score,float64,1111,1.49,8
home_set_2_score,float64,1643,2.2,8
away_set_2_score,float64,1643,2.2,8
home_set_3_score,float64,48694,65.18,12
away_set_3_score,float64,48694,65.18,12
home_set_4_score,float64,73593,98.51,8
away_set_4_score,float64,73593,98.51,8
home_set_5_score,float64,74280,99.43,8
away_set_5_score,float64,74280,99.43,8
home_odds_match_winner,float64,2590,3.47,393
away_odds_match_winner,float64,2590,3.47,420
home_odds_first_set_winner,float64,3701,4.95,326
away_odds_first_set_winner,float64,3701,4.95,347
home_aces,float64,1061,1.42,46
away_aces,float64,1061,1.42,42
home_double_faults,float64,1061,1.42,25
away_double_faults,float64,1061,1.42,25
home_service_points_won_perc,float64,1067,1.43,88
away_service_points_won_perc,float64,1067,1.43,87
home_return_points_won_perc,float64,1067,1.43,87
away_return_points_won_perc,float64,1067,1.43,88
home_break_points_won_perc,float64,1536,2.06,173
away_break_points_won_perc,float64,1591,2.13,170
home_break_points_saved_perc,float64,1591,2.13,170
away_break_points_saved_perc,float64,1536,2.06,175
source_file,object,0,0.0,8
unique_match_id,object,0,0.0,74703
match_date,datetime64[ns],0,0.0,54321
