"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"89242259",2024,2,"WTA Tour",1703813100,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Lansere S.","Capurro Taborda M.","390891","458195","","","","",1,2,0,6,2,6,1,"","","","","","",1.35,3.15,1.47,2.65,0,0,0,0,73,43,57,27,67,0,100,33
"45301034",2024,2,"WTA Tour",1703813100,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Baptiste H.","Knutson G.","987862","766389","","","","",1,2,0,6,1,6,0,"","","","","","",1.67,2.18,1.73,2.08,3,0,0,3,80,35,65,20,75,0,0,25
"41200566",2024,2,"WTA Tour",1703813400,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Gadecki O.","Krunic A.","397015","814503","","","","",1,2,0,7,5,6,0,"","","","","","",1.33,3.3,1.44,2.75,7,5,0,2,65,48,52,35,42,17,83,58
"39913113",2024,2,"WTA Tour",1703817000,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Fourlis J.","Savinykh V.","461778","322585","","","","",2,1,2,7,6,5,7,2,6,"","","","",2.38,1.57,2.23,1.65,10,3,8,7,61,68,32,39,0,19,81,100
"61700769",2024,2,"WTA Tour",1703818500,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Hontama M.","Paquet C.","252693","944663","","","","",1,2,0,7,5,6,3,"","","","","","",1.5,2.55,1.6,2.32,2,2,3,3,65,60,40,35,33,0,100,67
"98830486",2024,2,"WTA Tour",1703818800,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Hon P.","Riera J.","861465","885767","","","","",2,1,2,6,3,6,7,3,6,"","","","",1.62,2.28,1.7,2.14,4,7,3,1,62,65,35,38,23,29,71,77
"41564113",2024,2,"WTA Tour",1703822400,"29 Dec 2023","United Cup WTA","","hard",1,"FINISHED","FINISHED","Sorribes Tormo S.","Haddad Maia B.","355591","692146","","","","",2,0,2,6,7,2,6,"","","","","","",2.75,1.44,2.5,1.5,0,0,7,2,51,57,43,49,50,100,0,50
"65396943",2024,2,"WTA Tour",1703826600,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Sramkova R.","Babos T.","123538","556756","","","","",2,0,2,6,7,4,6,"","","","","","",1.61,2.28,1.68,2.16,5,4,2,5,51,56,44,49,29,50,50,71
"13913047",2024,2,"WTA Tour",1703828100,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Inglis M.","Starodubtseva Y.","646421","976242","","","","",2,1,2,3,6,6,2,4,6,"","","","",2.5,1.52,2.3,1.6,4,0,3,3,53,53,47,47,38,46,54,63
"77550034",2024,2,"WTA Tour",1703828700,"29 Dec 2023","Brisbane WTA - Qualification","Qualifier","hard",1,"FINISHED","FINISHED","Gibson T.","Jeanjean L.","828867","344636","","","","",1,2,1,4,6,6,3,6,4,"","","","",1.6,2.32,1.68,2.17,11,8,6,4,66,65,35,34,60,40,60,40
